structure,robot,dataset,scene_id,r_filter,n_points,solved,time_secs,construction_secs,n_samples,n_nodes
mvtable_simd,panda,bookshelf_small,16,0.048,2340,true,0.000066405,0.000143547,7,3
mvtable_mutable_simd,panda,bookshelf_small,16,0.048,2340,true,0.000059933,0.000170827,7,3
capt_simd,panda,bookshelf_small,16,0.048,2340,true,0.000119685,0.004057374,7,3
mvtable,panda,bookshelf_small,17,0.048,2313,true,0.000106658,0.000148124,10,5
mvtable_mutable,panda,bookshelf_small,17,0.048,2313,true,0.000095446,0.000159341,10,5
capt,panda,bookshelf_small,17,0.048,2313,true,0.000190111,0.003341387,10,5
kiddo,panda,bookshelf_small,17,0.048,2313,true,0.000533253,0.000101789,10,5
mvtable_simd,panda,bookshelf_small,17,0.048,2313,true,0.000098657,0.000132759,10,5
mvtable_mutable_simd,panda,bookshelf_small,17,0.048,2313,true,0.000089323,0.00015961,10,5
capt_simd,panda,bookshelf_small,17,0.048,2313,true,0.000151026,0.004024909,10,5
mvtable,panda,bookshelf_small,18,0.048,2346,true,0.00007978,0.000163222,9,6
mvtable_mutable,panda,bookshelf_small,18,0.048,2346,true,0.00007139,0.000178479,9,6
capt,panda,bookshelf_small,18,0.048,2346,true,0.000146752,0.003411981,9,6
kiddo,panda,bookshelf_small,18,0.048,2346,true,0.000624922,0.000101909,9,6
mvtable_simd,panda,bookshelf_small,18,0.048,2346,true,0.000071732,0.000167322,9,6
mvtable_mutable_simd,panda,bookshelf_small,18,0.048,2346,true,0.000060647,0.000178289,9,6
capt_simd,panda,bookshelf_small,18,0.048,2346,true,0.000140385,0.004033443,9,6
mvtable,panda,bookshelf_small,19,0.048,2383,true,0.001433718,0.000162458,1152,11
mvtable_mutable,panda,bookshelf_small,19,0.048,2383,true,0.001285969,0.000181204,1152,11
capt,panda,bookshelf_small,19,0.048,2383,true,0.003430122,0.003415343,1152,11
kiddo,panda,bookshelf_small,19,0.048,2383,true,0.003704818,0.000105505,1152,11
mvtable_simd,panda,bookshelf_small,19,0.048,2383,true,0.001387664,0.00018819,1152,11
mvtable_mutable_simd,panda,bookshelf_small,19,0.048,2383,true,0.001272584,0.000184431,1152,11
capt_simd,panda,bookshelf_small,19,0.048,2383,true,0.001960811,0.004147133,1152,11
mvtable,panda,bookshelf_small,20,0.048,2265,true,0.000087542,0.000155805,7,4
mvtable_mutable,panda,bookshelf_small,20,0.048,2265,true,0.000079914,0.000164829,7,4
capt,panda,bookshelf_small,20,0.048,2265,true,0.000149574,0.003308195,7,4
kiddo,panda,bookshelf_small,20,0.048,2265,true,0.000471201,0.000101111,7,4
mvtable_simd,panda,bookshelf_small,20,0.048,2265,true,0.000076129,0.00013554,7,4
mvtable_mutable_simd,panda,bookshelf_small,20,0.048,2265,true,0.00007065,0.000164382,7,4
capt_simd,panda,bookshelf_small,20,0.048,2265,true,0.000135841,0.003941999,7,4
mvtable,panda,bookshelf_small,21,0.048,2334,true,0.000172784,0.000174107,50,6
mvtable_mutable,panda,bookshelf_small,21,0.048,2334,true,0.000157678,0.000176457,50,6
capt,panda,bookshelf_small,21,0.048,2334,true,0.000315214,0.003468911,50,6
kiddo,panda,bookshelf_small,21,0.048,2334,true,0.000714195,0.000102462,50,6
mvtable_simd,panda,bookshelf_small,21,0.048,2334,true,0.000159084,0.000168329,50,6
mvtable_mutable_simd,panda,bookshelf_small,21,0.048,2334,true,0.000152877,0.000176618,50,6
capt_simd,panda,bookshelf_small,21,0.048,2334,true,0.000223621,0.004032332,50,6
mvtable,panda,bookshelf_small,22,0.048,2293,true,0.000243582,0.000153415,113,6
mvtable_mutable,panda,bookshelf_small,22,0.048,2293,true,0.000219446,0.000166134,113,6
capt,panda,bookshelf_small,22,0.048,2293,true,0.000605853,0.003355576,113,6
kiddo,panda,bookshelf_small,22,0.048,2293,true,0.000842665,0.000100881,113,6
mvtable_simd,panda,bookshelf_small,22,0.048,2293,true,0.000230724,0.000163135,113,6
mvtable_mutable_simd,panda,bookshelf_small,22,0.048,2293,true,0.000210942,0.000166713,113,6
capt_simd,panda,bookshelf_small,22,0.048,2293,true,0.000341823,0.003993387,113,6
mvtable,panda,bookshelf_small,23,0.048,2394,true,0.000325185,0.000173749,28,6
mvtable_mutable,panda,bookshelf_small,23,0.048,2394,true,0.000298128,0.000174462,28,6
capt,panda,bookshelf_small,23,0.048,2394,true,0.000667922,0.003426805,28,6
kiddo,panda,bookshelf_small,23,0.048,2394,true,0.000635014,0.000103816,28,6
mvtable_simd,panda,bookshelf_small,23,0.048,2394,true,0.000309678,0.000168794,28,6
mvtable_mutable_simd,panda,bookshelf_small,23,0.048,2394,true,0.000320935,0.000175853,28,6
capt_simd,panda,bookshelf_small,23,0.048,2394,true,0.000295941,0.004093664,28,6
mvtable,panda,bookshelf_small,24,0.048,2350,true,0.000077853,0.000154974,1,5
mvtable_mutable,panda,bookshelf_small,24,0.048,2350,true,0.000070108,0.000171515,1,5
capt,panda,bookshelf_small,24,0.048,2350,true,0.00015713,0.003329981,1,5
kiddo,panda,bookshelf_small,24,0.048,2350,true,0.000351109,0.000108356,1,5
mvtable_simd,panda,bookshelf_small,24,0.048,2350,true,0.00006136,0.000149252,1,5
mvtable_mutable_simd,panda,bookshelf_small,24,0.048,2350,true,0.000062959,0.000171963,1,5
capt_simd,panda,bookshelf_small,24,0.048,2350,true,0.000111792,0.00395028,1,5
mvtable,panda,bookshelf_small,25,0.048,2393,true,0.00010953,0.000195581,7,4
mvtable_mutable,panda,bookshelf_small,25,0.048,2393,true,0.000101506,0.000180006,7,4
capt,panda,bookshelf_small,25,0.048,2393,true,0.000175188,0.003422395,7,4
kiddo,panda,bookshelf_small,25,0.048,2393,true,0.000257714,0.000107341,7,4
mvtable_simd,panda,bookshelf_small,25,0.048,2393,true,0.000100518,0.000148052,7,4
mvtable_mutable_simd,panda,bookshelf_small,25,0.048,2393,true,0.000097556,0.000180557,7,4
capt_simd,panda,bookshelf_small,25,0.048,2393,true,0.000116322,0.004078945,7,4
mvtable,panda,bookshelf_small,26,0.048,2291,true,0.000179983,0.000159448,22,5
mvtable_mutable,panda,bookshelf_small,26,0.048,2291,true,0.000162946,0.000166111,22,5
capt,panda,bookshelf_small,26,0.048,2291,true,0.000452167,0.003373041,22,5
kiddo,panda,bookshelf_small,26,0.048,2291,true,0.000572137,0.000102773,22,5
mvtable_simd,panda,bookshelf_small,26,0.048,2291,true,0.000165905,0.000168459,22,5
mvtable_mutable_simd,panda,bookshelf_small,26,0.048,2291,true,0.000152694,0.000168013,22,5
capt_simd,panda,bookshelf_small,26,0.048,2291,true,0.000190752,0.003966968,22,5
mvtable,panda,bookshelf_small,27,0.048,2401,true,0.00011803,0.000166491,8,5
mvtable_mutable,panda,bookshelf_small,27,0.048,2401,true,0.000107263,0.000173789,8,5
capt,panda,bookshelf_small,27,0.048,2401,true,0.000179264,0.003806799,8,5
kiddo,panda,bookshelf_small,27,0.048,2401,true,0.000402645,0.000110761,8,5
mvtable_simd,panda,bookshelf_small,27,0.048,2401,true,0.000124145,0.000159269,8,5
mvtable_mutable_simd,panda,bookshelf_small,27,0.048,2401,true,0.000115258,0.000189696,8,5
capt_simd,panda,bookshelf_small,27,0.048,2401,true,0.000124322,0.004160121,8,5
mvtable,panda,bookshelf_small,28,0.048,2324,true,0.000082302,0.000150736,9,5
